iter	Passed	Remaining
0	2	198
1	3	182
2	5	164
3	6	150
4	7	145
5	9	147
6	11	146
7	12	145
8	14	143
9	15	140
10	17	145
11	19	145
12	21	144
13	23	144
14	25	142
15	26	139
16	28	137
17	29	134
18	31	134
19	33	132
20	34	129
21	35	127
22	37	125
23	39	124
24	40	122
25	42	120
26	43	117
27	45	116
28	47	115
29	48	113
30	49	111
31	51	109
32	52	107
33	54	105
34	55	103
35	57	101
36	58	100
37	60	98
38	62	97
39	64	96
40	65	94
41	66	91
42	68	90
43	69	89
44	71	87
45	73	86
46	74	84
47	76	82
48	78	81
49	79	79
50	81	77
51	82	76
52	84	75
53	86	73
54	88	72
55	89	70
56	91	69
57	93	67
58	94	65
59	95	63
60	97	62
61	99	60
62	100	59
63	102	57
64	103	55
65	105	54
66	106	52
67	108	50
68	109	49
69	111	47
70	112	46
71	114	44
72	115	42
73	117	41
74	118	39
75	120	38
76	121	36
77	123	34
78	124	33
79	126	31
80	127	30
81	129	28
82	130	26
83	132	25
84	133	23
85	135	22
86	137	20
87	138	18
88	140	17
89	142	15
90	144	14
91	145	12
92	147	11
93	149	9
94	150	7
95	152	6
96	153	4
97	155	3
98	156	1
99	158	0
