iter	Passed	Remaining
0	140	139946
1	140	70328
2	141	47174
3	142	35564
4	143	28579
5	144	23964
6	145	20617
7	145	18103
8	146	16161
9	147	14630
10	148	13374
11	149	12302
12	150	11394
13	150	10621
14	151	9952
15	152	9357
16	153	8851
17	154	8411
18	154	8001
19	155	7636
20	156	7296
21	157	6986
22	157	6701
23	158	6441
24	159	6201
25	159	5978
26	160	5784
27	161	5614
28	162	5440
29	163	5279
30	164	5129
31	164	4983
32	165	4850
33	166	4726
34	167	4607
35	168	4507
36	169	4403
37	169	4299
38	170	4204
39	171	4114
40	172	4028
41	172	3943
42	173	3860
43	174	3793
44	175	3730
45	176	3665
46	177	3599
47	178	3535
48	178	3472
49	179	3419
50	181	3373
51	182	3323
52	183	3273
53	184	3224
54	184	3174
55	185	3128
56	186	3082
57	187	3049
58	188	3012
59	189	2974
60	190	2934
61	191	2897
62	192	2862
63	193	2833
64	195	2806
65	196	2774
66	197	2743
67	197	2711
68	198	2680
69	199	2647
70	200	2617
71	201	2599
72	202	2575
73	203	2549
74	204	2523
75	205	2499
76	206	2473
77	207	2447
78	207	2421
79	208	2402
80	209	2381
81	210	2361
82	211	2335
83	212	2311
84	212	2290
85	213	2269
86	214	2250
87	215	2234
88	216	2217
89	217	2199
90	218	2181
91	219	2163
92	219	2145
93	220	2128
94	221	2110
95	222	2095
96	223	2083
97	224	2069
98	225	2054
99	226	2039
100	227	2023
101	228	2007
102	229	1994
103	230	1982
104	231	1969
105	232	1957
106	232	1944
107	233	1930
108	234	1916
109	235	1903
110	235	1890
111	236	1876
112	238	1870
113	239	1859
114	240	1847
115	240	1835
116	241	1822
117	242	1811
118	243	1799
119	243	1788
120	245	1780
121	245	1769
122	246	1759
123	247	1749
124	248	1738
125	249	1728
126	249	1716
127	250	1706
128	251	1695
129	251	1685
130	253	1678
131	253	1669
132	254	1659
133	255	1650
134	256	1641
135	256	1632
136	257	1623
137	258	1614
138	259	1606
139	260	1599
140	261	1591
141	261	1582
142	262	1574
143	263	1566
144	264	1557
145	264	1549
146	265	1541
147	266	1533
148	267	1527
149	268	1521
150	269	1514
151	270	1507
152	270	1500
153	271	1492
154	272	1485
155	273	1478
156	274	1471
157	275	1465
158	275	1459
159	276	1452
160	277	1444
161	278	1438
162	278	1431
163	279	1424
164	280	1417
165	280	1411
166	281	1405
167	282	1400
168	283	1395
169	284	1389
170	285	1383
171	286	1377
172	286	1371
173	287	1366
174	288	1360
175	289	1355
176	290	1350
177	291	1345
178	292	1341
179	293	1336
180	294	1331
181	295	1326
182	295	1320
183	297	1317
